ID,Name,Concepticon_ID,Concepticon_Gloss,IndexInSource,Papuan_Malay_Gloss
1_one,one,1493,ONE,1-0,satu
2_two,two,1498,TWO,2-0,dua
3_three,three,492,THREE,3-0,tiga
4_four,four,1500,FOUR,4-0,empat
5_five,five,493,FIVE,5-0,lima
6_six,six,1703,SIX,6-0,enam
7_seven,seven,1704,SEVEN,7-0,tujuh
8_eight,eight,1705,EIGHT,8-0,delapan
9_nine,nine,1483,NINE,9-0,sembilan
10_ten,ten,1515,TEN,10-0,sepuluh
11_twenty,twenty,1710,TWENTY,11-0,duapuluh
12_fifty,fifty,1717,FIFTY,15-0,limapuluh
13_onehundred,one hundred,1634,HUNDRED,20-0,seratus
14_onethousand,one thousand,1843,THOUSAND,21-0,seribu
15_year,year,1226,YEAR,51-0,tahun
16_right,right,1019,RIGHT,81-0,kanan
17_left,left,244,LEFT,82-0,kiri
18_i,I,1209,I,101-0,sa
19_weallexcl,"we  (all, EXcl.)",1130,WE (EXCLUSIVE),102-0,kitong
20_webothincl,"we  (both, INcl.)",2637,WE TWO (INCLUSIVE),102-1,
21_webothexcl,"we  (both, EXcl.)",2636,WE TWO (EXCLUSIVE),102-2,
22_weallincl,"we  (all, INcl.)",1131,WE (INCLUSIVE),102-3,kitong
23_thou,thou,1215,THOU,104-0,ko
24_youboth,you  (both),2111,YOU TWO,105-0,kam
25_youall,you  (all),1213,YOU,105-2,kam
26_heshe,he/she,2642,HE OR SHE,106-0,de/dia
27_theyall,they  (all),817,THEY,107-0,dong
28_theyboth,they  (both),2635,THEY TWO,107-2,
29_nonot,"no, not",2279,NO OR NOT,112-0,"tidak, bukan"
30_what,what,1236,WHAT,121-0,apa
31_who,who,1235,WHO,122-0,siapa
32_where,where,1237,WHERE,123-0,di mana
33_when,when,1238,WHEN,124-0,kapan
34_how,how,1239,HOW,125-0,bagaimana
35_this,this,1214,THIS,131-0,ini
36_that,that,78,THAT,132-0,itu
37_and,and,1577,AND,134-0,dan
38_above,above,1741,ABOVE,138-0,di atas
39_below,below,1485,BELOW OR UNDER,139-0,di bawah
40_ininside,"in, inside",1460,IN,141-0,di dalam
41_at,at,1461,AT,148-0,di
42_if,if,1459,IF,171-0,kalau
43_head,head,1256,HEAD,201-0,kepala
44_hair,hair,1040,HAIR,205-0,rambut
45_eye,eye,1248,EYE,211-0,mata
46_nose,nose,1221,NOSE,212-0,hidung
47_ear,ear,1247,EAR,213-0,telinga
48_mouth,mouth,674,MOUTH,221-0,mulut
49_tongue,tongue,1205,TONGUE,223-0,lidah
50_tooth,tooth,1380,TOOTH,224-0,gigi
51_hand,hand,1277,HAND,231-0,tangan
52_shoulder,shoulder,1482,SHOULDER,233-0,bahu
53_neck,neck,1333,NECK,241-0,leher
54_back,back,1291,BACK,242-0,belakang (badan)
55_leg,leg,2098,FOOT OR LEG,252-0,kaki
56_blood,blood,946,BLOOD,261-0,darah
57_bone,bone,1394,BONE,262-0,tulang
58_skin,skin,763,SKIN,263-0,kulit
59_belly,belly,1251,BELLY,271-0,perut
60_intestines,intestines,1991,INTESTINES,272-0,usus
61_breast,breast,1402,BREAST,274-0,"payudara, susu"
62_liver,liver,1224,LIVER,284-0,hati
63_dog,dog,2009,DOG,312-0,anjing
64_bird,bird,937,BIRD,321-0,burung
65_fish,fish,227,FISH,324-0,ikan
66_snake,snake,730,SNAKE,341-0,ular
67_worm,worm,1219,WORM,342-0,cacing
68_louse,louse,1392,LOUSE,343-0,kutu
69_rat,rat,1490,RAT,345-0,tikus
70_spider,spider,843,SPIDER,349-0,laba-laba
71_mosquito,mosquito,1509,MOSQUITO,352-0,nyamuk
72_egg,egg,744,EGG,381-0,telur
73_tail,tail,1220,TAIL,383-0,ekor
74_wing,wing,1257,WING,384-0,sayap
75_feather,feather,1201,FEATHER,385-0,bulu
76_person,person,683,PERSON,401-0,manusia
77_man,man,2106,MALE PERSON,402-0,laki-laki
78_woman,woman,2105,FEMALE PERSON,403-0,perempuan
79_child,child,2099,CHILD,405-0,anak
80_name,name,1405,NAME,410-0,nama
81_mother,mother,1216,MOTHER,431-0,mama
82_father,father,1217,FATHER,432-0,bapa
83_husband,husband,1200,HUSBAND,435-0,suami
