Yapenwooi,English Translation
koɾisi,1_one
koɾu,2_two
toɾu,3_three
muana,4_four
diŋ,5_five
wonaŋ,6_six
itu,7_seven
waɾu,8_eight
siu,9_nine
huɾa,10_ten
piaɾehi,11_twenty
piaɾehi heha diŋ,12_fifty
►,13_onehundred
►,14_onethousand
puɾia,15_year
cobataŋ,16_right
cowiɾi,17_left
jau,18_i
tata,19_weallexcl
aɾu,20_webothincl
taɾu,21_webothexcl
ama,22_weallincl
au,23_thou
maɾu,24_youboth
mia,25_youall
i,26_heshe
hia,27_theyall
haɾu,28_theyboth
βa,29_nonot
pitoi,30_what
matei,31_who
nanani,32_where
hapitoi,33_when
topino,34_how
niŋ,35_this
waŋ,36_that
koŋ,37_and
nawipei,38_above
naumbau,39_below
naɾampui,40_ininside
paina,42_if
ɾiukami,43_head
ɾiuandauŋ,44_hair
ɾekami,45_eye
hokama,46_nose
taɾakambɾei,47_ear
hⁿoɾe,48_mouth
hoɾetapaɾe,49_tongue
teɾe,50_tooth
βaɾa,51_hand
βaɾacaɾa,52_shoulder
ɾaukwo,53_neck
kaɾohⁿina,54_back
ae,55_leg
ɾia,56_blood
nehⁿina,57_bone
ɾawa,58_skin
hanewai,59_belly
►,60_intestines
hⁿuhⁿu,61_breast
►,62_liver
wona,63_dog
aja,64_bird
tiaŋ,65_fish
pinamnai,66_snake
kasiβoiɾi,67_worm
utu,68_louse
kapueha,69_rat
apopaŋ,70_spider
pikaɾaɾi,71_mosquito
nebuoŋ,72_egg
kapuŋ,73_tail
βaɾapema,74_wing
ɾaɾaba,75_feather
hiuntaɾai,76_person
muaŋ,77_man
βaβiŋ,78_woman
antuŋ,79_child
hano,80_name
ami,81_mother
amai,82_father
hawamuaŋ,83_husband
hawaβaβiŋ,84_wife
ɾaɾia,85_day
cuɾu,86_night
hembai,87_moon
hiβiai,88_star
ɾoɾa,89_sky
maɾia,90_water
tobai,91_lake
ɾau,92_sea
atia,93_fire
wiou,94_smoke
waβu,95_ash
kami,96_stone
kakopa,97_earthsoil
waβu,98_dust
øapa,99_sand
mamaŋ,100_rain
mandep,101_cloud
wanaŋ,102_wind
piwoɾi,103_fog
kuɾuja,104_thunder
bieɾia,105_lightning
taɾai,106_meatflesh
►,107_salt
nemaiŋ,108_fatgrease
buoŋ,109_fruit
wiɾaɾo,110_woodsforest
waɾi,111_root
aɾawaŋ,112_branch
ɾauŋ,113_leaf
ai,114_wood
hamueŋ,115_grass
pu,116_flower
ɾandauŋ,117_thatchroof
manu,118_house
aɾoɾa,119_rope
ɾaŋ,121_roadpath
metaŋ,122_black
kadui,123_white
ɾia,124_red
kake,125_green
βoβotai,126_yellow
baba,127_big
moma,128_small
taɾoi,129_long
tanaŋ,130_short
tapei,131_thick
mani,132_thin
►,133_narrow
►,134_wide
mahaiŋ,135_sharp
pua,136_bluntdull
mamaja,137_shyashamed
►,138_old
huhi,139_painfulsick
βihieŋ,140_good
mamuna,141_bad
mahi,142_correcttrue
kaɾaɾiha,143_dirty
kaŋkoŋ,144_rotten
kuiɾa,145_all
mamba,146_heavy
woɾoi,147_far
kikie,148_near
maŋɾiɾiu,149_warm
paɾimaŋ,150_cold
hanaja,151_dry
hapapu,152_wet
βaβoɾu,153_new
βihiea,154_other
ɾama,155_come
ɾa,156_walk
baba,157_grow
teɾa,158_stand
mahoi,159_sit
tawa,160_fall
βata,161_liedown
βeɾia,162_turn
jouta,163_climb
hoi,164_swim
hapo,165_flyverb
ho,166_throw
jaiøuiŋ,167_hide
mama,168_chew
jampi,169_eat
juŋ,170_drink
kaɾi,171_bite
hu,172_suck
mamaŋ,173_yawn
kaɳuhⁿu,174_spit
mi,175_dream
jena,176_sleep
βihieŋ,177_live
kaɾia,178_die
muŋ,179_kill
ɾehⁿo,180_see
taɾaho,181_hear
hⁿohⁿo,182_sniffsmell
ɾehoato,183_know
hanetatota,184_think
maɾe,185_laugh
hai,186_cry
bui,187_blow
nuiŋ,188_burn
hoɾi,189_flow
jawa,190_sew
to,191_pound
ɾa,192_hit
peɾaŋ,193_cut
βiβo,194_split
bai,195_dig
►,196_hunt
ɾu,197_hold
matai,198_fear
jatoɾa,199_count
haɾahaseŋ,200_breathe
mamuta,201_vomit
kahie,202_tieup
taβa,203_squeeze
babaɾa,204_swell
paja,205_say
kaɾaŋ,206_scratch
jihaŋ,207_stab
jaβajaŋ,208_buy
manana,209_steal
jeɾi,210_choose
tanaŋ,211_plant
nuiŋ,212_cook
nuiŋ,213_shoot
►,214_work
hepa,215_open
