Ansus,English Translation
kɔiɾi,1_one
bɔkɔdu,2_two
bɔtɔɾu,3_three
manua,4_four
bɔɾiŋ,5_five
bɔwɔnaŋ,6_six
bɔitu,7_seven
inʤatɔɾu,8_eight
inʤataŋ,9_nine
bɔuɾa,10_ten
piaɾɛi,11_twenty
piakoɔdu ɛa uɾa,12_fifty
piaɾiŋ,13_onehundred
piauɾa wɔɛɾiŋ,14_onethousand
taumi,15_year
dɔuwataŋ,16_right
dɔuwiɾi,17_left
jau,18_i
ama,19_weallexcl
taɾu,20_webothincl
andu,21_webothexcl
tata,22_weallincl
au,23_thou
maɾu,24_youboth
mia,25_youall
i,26_heshe
dja,27_theyall
asaɾu,28_theyboth
anawa,29_nonot
pitɔi,30_what
matɛi,31_who
natɔtɔi,32_where
atɔtɔi,33_when
tɔpinɔ,34_how
nini,35_this
andiani,36_that
kɔŋ,37_and
naʤɛi,38_above
nauŋ,39_below
naɾaɾɔuŋ,40_ininside
na,41_at
tɔjana,42_if
nɛudukami,43_head
nɛuduandauŋ,44_hair
ɾɛukami,45_eye
nɛuwɔpɛ,46_nose
nɛwtaɾakambɾɛi,47_ear
neuɾɛu,48_mouth
wɔɾɛpaŋ,49_tongue
dɛɾɛu,50_tooth
waɾau,51_hand
waɾa udaɾa,52_shoulder
nɛuɾaukanaŋ,53_neck
kaɾupui,54_back
aɛu,55_leg
ɾia,56_blood
nɛwina,57_bone
ɾɛɾawa,58_skin
anɛmu,59_belly
nɛu u,61_breast
wɔna,63_dog
aja,64_bird
diaŋ,65_fish
piaɾa,66_snake
piawoɔɾa,67_worm
utu,68_louse
kapa,69_rat
iŋkiɾa,70_spider
aimaniŋ,71_mosquito
nɛwɔŋ,72_egg
amakapuŋ,73_tail
waɾapɛma,74_wing
nɛwtaɾainanamu,75_feather
ɲontaɾai,76_person
muaŋ,77_man
wawiŋ,78_woman
kumai,79_child
anɔu,80_name
nɛwinani,81_mother
nɛwijai,82_father
awani,83_husband
wawini,84_wife
ɾaida,85_day
diɾu,86_night
jɛmbai,87_moon
piɔɾi,88_star
ɾɔɾa,89_sky
maɾia,90_water
ɾuɾu,91_lake
ɾawanaŋ,92_sea
adia,93_fire
sɔna,94_smoke
wawu,95_ash
kami,96_stone
kakɔpa,97_earthsoil
wawu,98_dust
ɾɔwuaŋ,99_sand
mamaŋ,100_rain
mandipi,101_cloud
wanaŋ,102_wind
pipapa,103_fog
kaidu,104_thunder
kɛwɛwaɾi,105_lightning
nɛtaɾai,106_meatflesh
ai,107_salt
maiŋ,108_fatgrease
boŋ,109_fruit
wiɾɛi,110_woodsforest
wɔa,111_root
aɾawaŋ,112_branch
wɛɾauŋ,113_leaf
ai,114_wood
naniŋpuŋ,115_grass
bopu,116_flower
ɾandauŋ,117_thatchroof
manu,118_house
wai,119_rope
banani,120_needle
ɾaŋ,121_roadpath
miɛtaŋ,122_black
bjua,123_white
mɛɾai,124_red
mɛkaiwɛɾauŋ,125_green
kɛɾawiŋ,126_yellow
baba,127_big
mɛija,128_small
tɛniŋbai,129_long
tanaŋ,130_short
tɛpɛi,131_thick
mɛni,132_thin
kɛpaŋ,133_narrow
wɛɾaɔɾa,134_wide
mɛsasuŋ,135_sharp
kɛbuŋ,136_bluntdull
ɛmamaja,137_shyashamed
paituaŋ,138_old
ɛʤui,139_painfulsick
wiɛŋ,140_good
dɛmamunai,141_bad
taɾai,142_correcttrue
ɛkaɾaɾia,143_dirty
deɾɔwu,144_rotten
kuiɾa,145_all
mamba,146_heavy
wɔɾɔi,147_far
kikiɛu,148_near
mɛɾiɾuaɾuŋ,149_warm
dɛa,150_cold
anaja,151_dry
wawa,152_wet
wawɔɾu,153_new
ɛi ɛa,154_other
ɛɾama,155_come
ɛɾa,156_walk
sua,157_grow
ɛʤɔa,158_stand
ɛmajɔi,159_sit
ɛtawa,160_fall
ɛwata,161_liedown
ɛɾawɛɾia,162_turn
ɛwɛita,163_climb
ɛʤɔi,164_swim
ɛjapɔ,165_flyverb
ɛʤɔ,166_throw
ɛʤɛɲuwiŋ,167_hide
ɛmama,168_chew
ɛʤampi,169_eat
ɛʤunuŋ,170_drink
ɛkaɾi,171_bite
ɛʤupi,172_suck
wɛwiɔu,173_yawn
ɛkaɲu,174_spit
ɛʤami,175_dream
ɛʤɛna,176_sleep
ɛwɛŋ,177_live
ɛkada,178_die
ɛmuni,179_kill
ɛɾɛɔa,180_see
ɛtaɾaoɔa,181_hear
wɔpɛɔi,182_sniffsmell
anɛwawɔa,183_know
anɛutatuaɔta,184_think
ɛmaɾi,185_laugh
ɛʤai,186_cry
bjui,187_blow
nunuŋ,188_burn
ʤɛɾɔ,189_flow
ɛʤawa,190_sew
ɛtutai,191_pound
ɛɾɔɾai,192_hit
ɛtɛkutui,193_cut
ɛwiwɔtatɛɾi,194_split
ɛʤiɾai,195_dig
ɛʤɛwɛ,196_hunt
ɛɾu,197_hold
ɛmatai,198_fear
ɛʤatɔɾa,199_count
ɛʤasɛŋ,200_breathe
ɛmamuta,201_vomit
ɛkaɛ,202_tieup
ɾuami,203_squeeze
ɛbabaɾa,204_swell
ɛtɔpana,205_say
ɛkaɾani,206_scratch
ɛʤiaŋ,207_stab
ɛwoɾi,208_buy
ɛmanana,209_steal
ɛʤiɾi,210_choose
sanami,211_plant
ɛninunuŋ,212_cook
ɛʤana,213_shoot
kaɾaʤaŋ,214_work
ɛʤɛpa,215_open
